 written on 27Jun2024 at 19:21:55 
   2.5102669999999998        0.0000000000000000        0.0000000000000000     
  -1.2551334999999999        2.1739549999999999        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        15.000000000000000     
          12
         151
    2    1    1    1    2    2    1    1    1    1    1    2    1    1    1
    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1
    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1
    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1
    1    1    1    1    2    1    1    1    1    1    2    2    1    1    1
    2

   -8   -4    0
   10    1   -0.75699811E-02  0.73638438E-03
   11    1   -0.31390869E-01  0.19005113E-01
   12    1   -0.35743129E-02 -0.31545015E-01
    1    2    0.25619308E-01  0.17931350E-01
    2    2    0.15624222E-01  0.39912647E-01
    3    2   -0.55681588E-02 -0.27699781E-01
    4    2    0.11564195E-01 -0.11109817E-01
    5    2    0.31724188E-02  0.20659618E-03
    6    2    0.24132693E-02 -0.27649701E-01
    7    2    0.28550448E-02  0.27412894E-01
    8    2    0.14447569E-01  0.24042655E-01
    9    2    0.16624575E-01 -0.16712276E-01
   10    2   -0.19315256E-01  0.13967618E-01
   11    2   -0.64023043E-03  0.63506011E-02
   12    2   -0.14341675E-01  0.62227266E-02
    1    3   -0.21468865E-01 -0.25606128E-01
    2    3    0.82829719E-02 -0.12759041E-01
    3    3    0.84433061E-02 -0.38138003E-02
    4    3    0.68960588E-02 -0.81609333E-02
    5    3    0.13368039E-01 -0.43547340E-02
    6    3    0.31387555E-03 -0.50226321E-02
    7    3    0.53485980E-02  0.13923620E-01
    8    3    0.10363469E-01  0.21582702E-01
    9    3    0.12794180E-01  0.13252953E-01
   10    3    0.46695715E-02 -0.41717473E-02
   11    3    0.15494159E-01  0.15535769E-01
   12    3    0.23875356E-02  0.14557814E-01
    1    4   -0.82573610E-02 -0.11617563E-02
    2    4   -0.13089325E-01 -0.17412734E-01
    3    4   -0.75452277E-02  0.47300299E-02
    4    4   -0.14238661E-02 -0.25546164E-02
    5    4    0.93772929E-04  0.37289632E-02
    6    4   -0.10155600E-01 -0.34640175E-02
    7    4    0.58918290E-03  0.19537563E-02
    8    4    0.39716938E-02  0.24447983E-02
    9    4   -0.13832776E-02  0.14382595E-02
   10    4    0.87709645E-03 -0.23926244E-02
   11    4   -0.36600153E-02  0.58712540E-02
   12    4   -0.23501894E-02  0.78007721E-02
    1    5    0.11566631E-01  0.14023903E-02
    2    5    0.62587587E-02  0.50121688E-02
    3    5    0.44099196E-02 -0.12960850E-01
    4    5    0.21637716E-02 -0.40459795E-02
    5    5    0.23921023E-01 -0.25725121E-01
    6    5   -0.20872619E-01 -0.57634874E-01
    7    5   -0.65473029E-02 -0.65643874E-02
    8    5    0.19473742E-01  0.12706809E-01
    9    5    0.11304156E-01 -0.10903061E-01
   10    5    0.73054139E-02  0.25091060E-02
   11    5   -0.13980671E-01 -0.15022158E-01
   12    5    0.19912962E-01 -0.22881928E-01
    1    6   -0.57000368E-01 -0.10519921E-01
    2    6    0.15225060E-01 -0.78970187E-01
    3    6    0.53806242E-03  0.17188209E-03
    4    6    0.39801450E-02  0.29690788E-02
    5    6    0.14931839E-01 -0.34333570E-01
    6    6   -0.24658309E-01  0.36153746E-01
    7    6   -0.15178142E-01 -0.36808435E-02
    8    6    0.50624301E-03  0.13029633E-01
    9    6    0.26677436E-01  0.25894430E-01
   10    6   -0.44207333E-01 -0.15048845E-01
   11    6    0.60307956E-03  0.25408814E-01
   12    6   -0.47241169E-02 -0.52605222E-02
    1    7   -0.12391802E-01  0.32850806E-01
    2    7    0.58656486E-02  0.39081457E-01
    3    7    0.15928851E-01 -0.10171270E-01
    4    7    0.53893481E-02  0.54269765E-03
    5    7   -0.15927493E-02  0.20566451E-02
    6    7    0.23699912E-01 -0.22543640E-02
    7    7   -0.79505914E-02 -0.29961730E-02
    8    7   -0.10305983E-01  0.36378979E-02
    9    7   -0.22410826E-02 -0.31096107E-02
   10    7    0.91588457E-02 -0.17389647E-01
   11    7   -0.11478094E-01 -0.24177257E-01
   12    7    0.15560599E-01  0.16410862E-01
    1    8    0.66508840E-02 -0.85996591E-02
    2    8   -0.70388117E-02  0.23904402E-01
    3    8   -0.53939616E-02  0.80711849E-02
    4    8   -0.24440608E-02  0.21458277E-02
    5    8   -0.13028836E-01 -0.36666366E-02
    6    8    0.60858834E-02  0.11760091E-01
    7    8    0.40380541E-03 -0.22006482E-02
    8    8    0.20004395E-04 -0.14476007E-02
    9    8   -0.12945469E-01 -0.82642211E-02
   10    8    0.11448790E-01 -0.18812162E-02
   11    8   -0.10789749E-01  0.89829615E-03
   12    8    0.12634145E-01  0.59242399E-02
    1    9   -0.19273478E-01  0.12698913E-01
    2    9    0.67851982E-02 -0.21685534E-01
    3    9   -0.99664552E-02 -0.20505158E-01
    4    9    0.35849614E-02 -0.40000041E-02
    5    9   -0.14747245E-01 -0.41425478E-02
    6    9   -0.10817317E-01 -0.22164814E-01
    7    9    0.11195345E-01  0.49031383E-03
    8    9    0.44010854E-02  0.16307435E-01
    9    9   -0.36829900E-02 -0.68579562E-02
   10    9    0.18436612E-01  0.51544588E-02
   11    9   -0.13914328E-01 -0.13295373E-01
   12    9    0.82356362E-02 -0.28802227E-02
    1   10    0.76156554E-02  0.22333493E-01
    2   10    0.19145642E-01  0.22349291E-02
    3   10    0.82417400E-02 -0.11504143E-01
    4   10   -0.45092138E-02  0.86377379E-03
    5   10   -0.11171175E-01  0.77898965E-02
    6   10    0.34849525E-01 -0.36244242E-01
    7   10    0.26195652E-02  0.84202640E-02
    8   10   -0.73314650E-02  0.43373978E-02
    9   10    0.31279269E-02 -0.69204316E-02
   10   10   -0.76406831E-02 -0.12707788E-01
   11   10   -0.61352283E-02  0.40214325E-02
   12   10    0.31911620E-02 -0.11677833E-02
    1   11   -0.28765848E-03 -0.36684027E-02
    2   11   -0.36964043E-02  0.13304184E-01
    3   11   -0.77780735E-02  0.18281893E-01
    4   11   -0.12369982E-01 -0.25410295E-03
    5   11    0.12426934E-01 -0.42504036E-02
    6   11   -0.10547204E-01  0.16688345E-01
    7   11    0.35180343E-02  0.39206042E-02
    8   11    0.21131102E-02  0.88426537E-02
    9   11   -0.45115722E-02  0.16393425E-01
   10   11    0.34950218E-02  0.40096665E-02
   11   11    0.84165083E-02  0.15871048E-01
   12   11   -0.10089142E-01  0.76395044E-02
    1   12    0.87848015E-02  0.44267707E-02
    2   12    0.13306999E-01 -0.73066330E-02
    3   12   -0.40256641E-02  0.15663622E-01
    4   12    0.11335251E-02  0.93272699E-02
    5   12   -0.94031711E-02 -0.19857398E-01
    6   12   -0.27420409E-01  0.10375126E-02
    7   12   -0.10150084E-01  0.54759815E-02
    8   12   -0.35962849E-02 -0.38051076E-02
    9   12   -0.83926275E-02 -0.66299683E-02
   10   12    0.16251228E-02  0.10135605E-01
   11   12   -0.12697823E-02 -0.14634796E-01
   12   12   -0.11117660E-01  0.32535362E-01

   -7   -4    0
    1    1   -0.16198706E-01  0.72095133E-01
    2    1   -0.23795166E-02 -0.24498554E-01
    3    1   -0.72101007E-01  0.54421594E-01
    4    1   -0.68261269E-02  0.57271308E-02
    5    1   -0.13775148E-01 -0.11295651E-01
    6    1   -0.43437939E-01  0.26056912E-02
    7    1   -0.17467293E-01 -0.34638866E-02
    8    1   -0.21206041E-02 -0.38084944E-03
    9    1    0.20039164E-01  0.95162033E-02
   10    1   -0.95729067E-02 -0.11117649E-02
   11    1   -0.11089332E-02 -0.11579872E-01
   12    1    0.16918574E-01  0.33947331E-01
    1    2   -0.40231698E-01 -0.33279815E-02
    2    2   -0.37861691E-01 -0.55728975E-01
    3    2   -0.25731341E-01  0.39395292E-01
    4    2   -0.13089117E-01  0.10372430E-01
    5    2    0.67418202E-02  0.70014084E-02
    6    2   -0.21083854E-01  0.55020497E-01
    7    2    0.18012117E-01 -0.20692166E-01
    8    2    0.13029719E-01 -0.17748606E-01
    9    2   -0.15847181E-01  0.14940060E-02
   10    2    0.24232825E-01 -0.18948422E-02
   11    2   -0.18222975E-01 -0.84888556E-02
   12    2    0.20028207E-01  0.21190423E-01
    1    3    0.59388608E-01  0.82297670E-02
    2    3    0.34379022E-01 -0.14651218E-01
    3    3    0.17691305E-03  0.46174588E-02
    4    3    0.71849181E-03  0.11556955E-01
    5    3   -0.40695603E-02  0.15841566E-01
    6    3   -0.11530432E-01  0.50815828E-01
    7    3    0.21136013E-01 -0.70241128E-02
    8    3    0.33029024E-02 -0.15124816E-01
    9    3   -0.64128638E-03  0.39385842E-02
   10    3   -0.11897339E-01 -0.10802610E-01
   11    3   -0.57478768E-02 -0.42887512E-02
   12    3   -0.89513180E-03 -0.92062126E-02
    1    4    0.48735365E-02  0.90626888E-02
    2    4    0.79134806E-03  0.10338092E-01
    3    4   -0.95355427E-02  0.62479889E-02
    4    4   -0.56856517E-03  0.17306743E-02
    5    4   -0.45181619E-02  0.56978288E-02
    6    4    0.31488333E-02 -0.28434896E-04
    7    4    0.30440322E-02 -0.42032222E-02
    8    4   -0.13993067E-02 -0.62874792E-02
    9    4    0.10938015E-01  0.29956638E-02
   10    4   -0.58430171E-02  0.14298510E-02
   11    4   -0.17547320E-01  0.28294973E-02
   12    4    0.15099887E-01 -0.11907575E-01
    1    5   -0.24850825E-02 -0.69251943E-02
    2    5   -0.49798241E-02 -0.23715918E-01
    3    5   -0.67567626E-02  0.70699219E-02
    4    5    0.26405913E-02  0.60870199E-02
    5    5    0.11243359E-01  0.19610987E-01
    6    5    0.12589920E-01  0.38913007E-01
    7    5    0.23179458E-02  0.13997836E-02
    8    5   -0.36312212E-02  0.15459748E-01
    9    5   -0.10107943E-01  0.19738496E-01
   10    5    0.51209527E-02 -0.13154809E-01
   11    5    0.12351327E-01 -0.10608078E-01
   12    5    0.26568351E-02  0.16996346E-01
    1    6    0.28641799E-01  0.13584664E-02
    2    6   -0.37253056E-01  0.20319801E-01
    3    6    0.75701365E-02 -0.17013340E-01
    4    6   -0.36487861E-02 -0.11491125E-01
    5    6   -0.14627033E-01  0.27439342E-01
    6    6    0.97638639E-04 -0.39449294E-01
    7    6    0.31097541E-02  0.71099644E-02
    8    6    0.22602646E-02 -0.37569427E-02
    9    6    0.66905114E-03 -0.22081524E-01
   10    6    0.22461139E-02  0.10188685E-01
   11    6   -0.95130680E-02 -0.22500281E-01
   12    6   -0.15820502E-01 -0.31612121E-01
    1    7   -0.26896176E-02 -0.18835211E-01
    2    7    0.20250128E-01 -0.39532687E-01
    3    7   -0.13468583E-01 -0.93300298E-02
    4    7    0.12275962E-02  0.75848565E-03
    5    7   -0.39865036E-02  0.99063606E-02
    6    7   -0.48118678E-02 -0.75439870E-02
    7    7   -0.34486284E-02  0.53809172E-02
    8    7    0.78429230E-02  0.42693406E-02
    9    7    0.39444743E-03  0.58836273E-02
   10    7   -0.39039495E-02  0.96614207E-02
   11    7    0.85131655E-02  0.90226025E-02
   12    7   -0.13088495E-01 -0.14670727E-01
    1    8    0.80228197E-02 -0.16057971E-02
    2    8    0.31593438E-01 -0.23486613E-01
    3    8   -0.62610594E-02 -0.20228695E-02
    4    8    0.61231810E-02  0.35776511E-03
    5    8    0.18797476E-01  0.76621409E-03
    6    8   -0.16124507E-02 -0.75021312E-02
    7    8   -0.53890961E-02 -0.23741115E-02
    8    8   -0.26477415E-02  0.27400491E-02
    9    8   -0.12957785E-02  0.54059205E-02
   10    8   -0.41513935E-02 -0.79657720E-02
   11    8    0.15542873E-02 -0.22675749E-02
   12    8    0.30333403E-05 -0.45811280E-02
    1    9    0.12579368E-01 -0.10579643E-01
    2    9   -0.47462754E-03  0.13040537E-01
    3    9    0.58993290E-02  0.28894184E-02
    4    9    0.54705785E-02  0.65340062E-03
    5    9    0.69015937E-02  0.39725062E-02
    6    9    0.25271895E-01  0.31225947E-01
    7    9   -0.46344688E-02 -0.14052589E-01
    8    9   -0.12486845E-01 -0.32009883E-02
    9    9    0.67896684E-02 -0.12463071E-01
   10    9   -0.80340579E-02 -0.41989766E-04
   11    9    0.12758820E-01 -0.14849002E-01
   12    9    0.10469158E-01  0.13060628E-02
    1   10   -0.35785057E-02 -0.19235368E-01
    2   10   -0.11884379E-01 -0.11528005E-01
    3   10   -0.47245807E-02  0.15256085E-01
    4   10    0.87260170E-03  0.13437033E-01
    5   10    0.36035727E-02 -0.11856580E-01
    6   10   -0.37725234E-01  0.35936784E-01
    7   10    0.37235353E-03 -0.22627145E-03
    8   10    0.12585321E-01 -0.32661147E-02
    9   10   -0.11277437E-02  0.18622689E-02
   10   10    0.13057280E-01  0.36671254E-01
   11   10    0.49047067E-02 -0.45915796E-02
   12   10   -0.26448255E-02  0.24643863E-01
    1   11   -0.36946852E-02  0.32066298E-02
    2   11    0.31482585E-01  0.71120221E-03
    3   11    0.18550785E-01 -0.73441042E-02
    4   11   -0.74944943E-02 -0.12935838E-01
    5   11   -0.19736070E-01 -0.80799436E-03
    6   11    0.16599373E-01 -0.82353294E-03
    7   11   -0.19839751E-01 -0.93215496E-02
    8   11   -0.16004648E-01 -0.13086103E-01
    9   11   -0.49859430E-02  0.10081321E-01
   10   11    0.84676125E-02 -0.12939503E-01
   11   11   -0.69507858E-02 -0.15503363E-01
   12   11    0.15180909E-01 -0.11402852E-01
    1   12    0.12218320E-01  0.11592338E-01
    2   12   -0.81280077E-02 -0.27104922E-02
    3   12    0.29568545E-01 -0.22729218E-01
    4   12   -0.18453368E-02  0.12106801E-02
    5   12    0.25658776E-01  0.10555576E-01
    6   12   -0.12800251E-01 -0.46379227E-02
    7   12    0.15624228E-01 -0.45894648E-02
    8   12    0.22588314E-02  0.13793573E-01
    9   12    0.23400021E-02  0.14719279E-01
   10   12    0.10586945E-01 -0.69276204E-02
   11   12    0.10004893E-01  0.14485321E-01
   12   12    0.33603850E-01 -0.18695772E-01

   -7   -3    0
    1    1   -0.22005701E-01 -0.87215465E-01
    2    1    0.58478490E-02  0.33626845E-01
    3    1    0.37634587E-01 -0.14572160E-01
    4    1    0.71300205E-02 -0.81478038E-02
    5    1    0.12214923E-01  0.19564284E-01
    6    1    0.26257999E-01 -0.34139890E-01
    7    1    0.23999686E-01 -0.31712105E-02
    8    1    0.44855455E-02  0.50946938E-02
    9    1   -0.10541214E-01 -0.12026788E-01
   10    1    0.93709321E-02  0.18946382E-01
   11    1    0.22156834E-01 -0.14285831E-01
   12    1    0.90478010E-02 -0.79722012E-02
    1    2    0.44182266E-01 -0.47989184E-02
    2    2    0.20084435E-01  0.71992690E-01
    3    2    0.10363379E-01  0.31287429E-03
    4    2    0.11959374E-01 -0.69297593E-02
    5    2   -0.14717396E-01  0.53806491E-02
    6    2    0.35077648E-01 -0.30954350E-01
    7    2   -0.13330190E-01 -0.14542416E-01
    8    2   -0.17136966E-01 -0.17033014E-01
    9    2    0.92992417E-02  0.37135360E-02
   10    2   -0.82622953E-02 -0.28061220E-02
   11    2   -0.10888883E-01 -0.57599776E-02
   12    2    0.17640728E-01 -0.27575248E-01
    1    3   -0.19493195E-01 -0.19788457E-01
    2    3   -0.22584122E-01 -0.32163080E-01
    3    3    0.13805521E-01  0.54453937E-02
    4    3    0.18356728E-01 -0.12962012E-01
    5    3   -0.72298518E-02 -0.32919089E-01
    6    3    0.46066689E-01 -0.22063277E-01
    7    3   -0.10678005E-01  0.95359537E-02
    8    3    0.25321372E-02  0.87582347E-02
    9    3    0.18851411E-03 -0.92855538E-02
   10    3   -0.95188302E-02  0.13171115E-01
   11    3    0.10862850E-01 -0.73474273E-02
   12    3   -0.21987415E-01  0.12578117E-01
    1    4   -0.16309607E-01 -0.75242278E-02
    2    4   -0.84980019E-02 -0.33625780E-02
    3    4    0.15382888E-02  0.12748037E-01
    4    4   -0.26650954E-03  0.31794771E-04
    5    4   -0.11493124E-02 -0.10471440E-01
    6    4   -0.46809156E-03 -0.11666535E-01
    7    4    0.27066361E-02  0.80116224E-03
    8    4   -0.15570229E-02 -0.14611353E-02
    9    4   -0.37659692E-03 -0.77736198E-02
   10    4    0.75556136E-02  0.13407603E-01
   11    4    0.11319675E-01  0.52149147E-02
   12    4   -0.77501075E-02  0.10215321E-01
    1    5    0.19158282E-01  0.19586356E-01
    2    5    0.80372984E-02  0.19901423E-01
